abarty epeý
abone abonent
acele gyssag
acele tiz
aceleci gyssanmaç
acıma rehim
acımasız wagşyça
acımasız zabun
acil gyssagly
aç aç
açgöz açgöz
açı burç
açık açyk
açık aýan
açıkça mälim
açıkla aýdyňlaşdyr
açıklak aşyr
açıklama wasp
açıklaştır anykla
açıklayıcı düşündirişli
açıklık äşgärlik
açlık  ajyk
ad at
ada ada
adalet adalat
adam adam
adaş atdaş
aday kandidat
adım ädim
affet bagyşla
afiş afişa
afrikalı afrikaly
afyon läle
ağaç agaç
ağaçkakan daşdeşen
ağır agyr
ağırı yza
ağız agyz
ağrıyan peşehorda
ahenk labyz
ahlaki ahlaky
ahmak ählepus
ahmak pekge
ahmak tentek
aile maşgala
ait degişli
ajitasyon tolgunyşyk
ak ak
akciğer öýken
akıcı suwuk
akıl akyl
akıllı dilewar
akıllı intelligent
akıllı paýhasly
akıllı synçy
akışkan suwuk
akli ruhy
akraba garyndaş
akraba garyndaş
akrep içýan
akrobat akrobat
akşam agşam
aktif  aktiw
aktör aktýor
al al
alacakaranlık iňrik
alageyik maral
alan meýdan
alarm alarm
alay polk
alaylı içýakgyç
albay polkownik
alçak pes
alçal pesel
aldırmazlık biperwaýlyk
alet esbap
alet gural
alevlen tutuş
alfabe elipbiý
alıcı alyjy
alıkoy  güýme
alın  maňlaý
alın alyn
alıngan öýkelek
alıntı sitada
alıntı sitirle
alışılagelmiş adaty
alışılmamış näbelet
alışılmamış üýtgeşik
alışkanlık endik
alıştır öwrenişdir
alkış çarpyşyk
alkol çakyr
alman nemes
alt ast
altı alty
altın altyn
altın tylla
altmış altmyş
altyapı fundament
ama emma
amaç niýet
amatör öwrenje
ambar sklad
amblem emblema
amca däde
amiral admiral
ampul lampoçka
an döwür
an pursat
ana eje
analiz derňew
anayol konductor
anayol magistral
anımsat ýatalat
anıt ýadygärlik
anıtkabir mawzoleý
anıtsal monumental
ani duýdansyz
aniden birden
anla düşün
anlam ähmiýet
anlam many
anlamdaş sinonim
anlamlı  dahylly
anlamsız batnyksyz
anlamsız bolgusyz
anlamsız manysyz
anlaş göwne
anlaşılır düşnükli
anlaşılmaz düşnüksiz
anlaşma wadalaşyk
anlaşma ylalyşyma
anlaşmazlık jetlik
anlaşmazlık tersleşik
anlatım aňlatma
anlayış duýgudaşlyk
anlayış howatyr
anlık pillelik
annelik ejelik
anonim anonim
anormal şumroý
ansiklopedi ensiklopediýa
antika gadymy
apaçık äşgär
apolet pogon
apron fartuk
aptal akylsyz
aptallık samsyklyk
ara ara
ara ara
ara gözle
araba araba
araba maşyn
aracı araçy
araç abzal
aralık aralyk
aralık dekabr
aralıksız üznüksiz
araştır çintge
araştırıcı gözlegçi
araştırma syn
arayış gözleýiş
ardışık birsydyrgyn
arı ary
arıt sapla
